,sg_symbol,sg_number
mp-600864,C2/m,12
mp-23062,C2/m,12
mp-676377,Cc,9
mp-28439,Cmmm,65
mp-25015,Fd-3m,227
mp-850160,P-4n2,118
mp-9577,Immm,71
mp-767337,P3_1,144
mp-541338,C2/c,15
mp-559575,P2_1/c,14
mp-23909,P2_12_12_1,19
mp-761869,Pm,6
mp-568627,R-3c,167
mp-25471,Fd-3m,227
mp-5615,P-62m,189
mp-566152,P2_1/c,14
mp-775820,P1,1
mp-25714,P2_1/c,14
mp-769865,Fd-3m,227
mp-4930,Cmcm,63
mp-866739,P1,1
mp-768906,P4/nmm,129
mp-764010,Cm,8
mp-1310,Fd-3m,227
mp-849465,Amm2,38
mp-11444,Cmcm,63
mp-542112,Pm-3m,221
mp-554034,C2/m,12
mp-567550,P-3,147
mp-780885,P2_1/c,14
mp-975385,Pm-3m,221
mp-28315,R-3c,167
mp-631410,F-43m,216
mp-774749,I4/m,87
mp-769585,P1,1
mp-764368,P1,1
mp-18898,R-3m,166
mp-721707,C2/c,15
mp-558226,P2_12_12_1,19
mp-17953,Pbcn,60
mp-759717,P4_332,212
mp-868338,P31c,159
mp-850226,P1,1
mp-778819,Amm2,38
mp-778657,P2_1/c,14
mp-754480,P6_3/mmc,194
mp-570442,Fm-3m,225
mp-510587,P2_1/m,11
mp-761386,Pna2_1,33
mp-973335,C222_1,20
mp-775918,P2_1,4
mp-27133,Ibca,73
mp-749,Fm-3m,225
mp-4405,Pm-3m,221
mp-777600,P1,1
mp-3977,P2_12_12_1,19
mp-579731,Pbca,61
mp-6610,R3c,161
mp-6999,P-1,2
mp-770058,P1,1
mp-3109,I4/mmm,139
mp-554657,C2/c,15
mp-752785,Cmmm,65
mp-27308,Pcca,54
mp-667424,C2/c,15
mp-778304,P4_332,212
mp-555729,P2_1/c,14
mp-645246,P6_3,173
mp-557298,P-1,2
mp-976357,I4/mmm,139
mp-752452,P-1,2
mp-553939,Pnma,62
mp-772561,P2_1/m,11
mp-14769,I4/mmm,139
mp-29240,P6_3/mcm,193
mp-21181,Pbam,55
mp-562061,Pnma,62
mp-573810,C2/m,12
mp-4034,Cmcm,63
mp-555480,I4/mmm,139
mp-569813,P-42m,111
mp-777146,P2_1/m,11
mp-99,P6_3/mmc,194
mp-763805,P1,1
mp-976047,I4/mmm,139
mp-557244,I2_12_12_1,24
mp-540861,P6_3,173
mp-772739,C2,5
mp-317,P2_13,198
mp-30645,Cmcm,63
mp-862615,Fm-3m,225
mp-41742,Pc,7
mp-26224,P2_1,4
mp-773611,R3,146
mp-975129,P6_3/mmc,194
mp-565581,P6_3/mmc,194
mp-761496,Pnma,62
mp-765781,C2/c,15
mp-13554,R-3c,167
mp-541327,Ima2,46
mp-22827,P4/mnc,128
mp-764510,Pm,6
mp-780181,P2_1/c,14
mp-558947,P4/nmm,129
mp-4182,Cm,8
mp-30499,Pbam,55
mp-6114,I4/mmm,139
mp-18951,Cmcm,63
mp-765124,Pc,7
mp-28589,P2_1/c,14
mp-706271,P4_2nm,102
mp-19538,P6_3/mmc,194
mp-25588,Pnma,62
mp-558753,P3_2,145
mp-15363,P2_1/c,14
mp-695259,P1,1
mp-853163,C2/m,12
mp-7087,P6_3/mmc,194
mp-568293,Pbcn,60
mp-765455,Cc,9
mp-557492,Pm,6
mp-10781,R-3m,166
mp-1836,I4/mcm,140
mp-505171,Pnma,62
mp-673685,P1,1
mp-781689,P2_1/c,14
mp-13688,Pnma,62
mp-23679,P6_3/mmc,194
mp-1886,Pm-3m,221
mp-696470,F-43m,216
mp-975272,Cmcm,63
mp-28021,P4/n,85
mp-558153,C2/c,15
mp-699229,Pmc2_1,26
mp-10378,Fm-3m,225
mp-633655,C2/c,15
mp-772245,P2/c,13
mp-14099,Pm-3m,221
mp-569114,I222,23
mp-753785,P4_2/mnm,136
mp-20301,P4/mbm,127
mp-709098,P2_1/c,14
mp-505552,Fd-3m,227
mp-18043,R-3,148
mp-780771,P-1,2
mp-774155,P1,1
mp-504980,Aea2,41
mp-775192,Pm,6
mp-764986,C2/m,12
mp-759405,Pnma,62
mp-755217,Pbcn,60
mp-850069,P1,1
mp-767887,Pbca,61
mp-505443,Pnma,62
mp-771276,P2_1/c,14
mp-569115,P-3m1,164
mp-849232,P2_1/m,11
mp-573498,I4/mmm,139
mp-567394,R3m,160
mp-608354,P2_1/m,11
mp-770359,Pnna,52
mp-566337,Cm,8
mp-561160,P-1,2
mp-30510,I-4c2,120
mp-765949,P2_1/c,14
mp-632394,Fddd,70
mp-557028,Immm,71
mp-560314,P-1,2
mp-22892,P6_3/mcm,193
mp-850062,P-1,2
mp-780093,P2_1/c,14
mp-772579,P2/c,13
mp-752393,C2/c,15
mp-567650,P-31m,162
mp-19153,Fd-3m,227
mp-974335,Pm-3m,221
mp-781771,P1,1
mp-759798,Aea2,41
mp-758708,Pna2_1,33
mp-720515,P2_1/c,14
mp-10257,P6_3/mmc,194
mp-13949,I-4,82
mp-770376,C222_1,20
mp-561172,I4/mmm,139
mp-90,Im-3m,229
mp-760084,Cm,8
mp-771793,R-3m,166
mp-12385,I4/m,87
mp-772825,Pnma,62
mp-556954,Pnma,62
mp-652366,P2_1/c,14
mp-570858,Cmcm,63
mp-757074,P-31m,162
mp-652663,Cc,9
mp-767305,P-1,2
mp-13327,Cmcm,63
