,sg_symbol,sg_number
mp-568107,P-1,2
mp-625774,P1,1
mp-778071,P-1,2
mp-762757,P-1,2
mp-974842,Pm-3m,221
mp-3787,Cmcm,63
mp-27123,Pnma,62
mp-635119,P2_1,4
mp-651951,P-1,2
mp-696298,C2/c,15
mp-715598,P1,1
mp-561479,Pnma,62
mp-1966,I-43d,220
mp-763393,P-1,2
mp-755349,P-1,2
mp-764728,P1,1
mp-24831,P-1,2
mp-777202,C2/c,15
mp-23717,P-1,2
mp-555100,P-1,2
mp-761646,P-1,2
mp-608156,P2_13,198
mp-720312,P2_1/c,14
mp-30145,P2_1/m,11
mp-29760,P-6,174
mp-698685,Pc,7
mp-9457,P2_1/c,14
mp-11221,Pm-3m,221
mp-765172,Pm,6
mp-979953,I4/mmm,139
mp-18471,P2_1/c,14
mp-16813,P2_1/c,14
mp-27717,Pbcm,57
mp-776840,Pnma,62
mp-780589,C2/m,12
mp-510654,Pnnm,58
mp-758196,I-4,82
mp-764676,P2/m,10
mp-565850,P2_12_12_1,19
mp-11476,Pm-3m,221
mp-18383,Pnma,62
mp-631510,F-43m,216
mp-850374,P1,1
mp-18344,P-1,2
mp-570477,C2/c,15
mp-20838,Pmma,51
mp-559226,P-62c,190
mp-128,R-3,148
mp-685148,Pn-3m,224
mp-868343,P6_222,180
mp-30449,F-43m,216
mp-12386,Cmmm,65
mp-27949,P2_12_12_1,19
mp-18464,P2_1/c,14
mp-24164,P2_1/c,14
mp-764383,Pm,6
mp-569782,Fd-3m,227
mp-722329,P4/nmm,129
mp-676851,R32,155
mp-566467,P-1,2
mp-561412,C2,5
mp-762991,Pm,6
mp-776093,Pbcm,57
mp-771865,Cmce,64
mp-19848,P4/nmm,129
mp-696717,Ibam,72
mp-629430,Pbca,61
mp-763339,C2/c,15
mp-677217,P-1,2
mp-567162,P2_12_12_1,19
mp-685014,P2_12_12_1,19
mp-8610,R-3,148
mp-983228,I4/mmm,139
mp-765203,P1,1
mp-559679,P2_1/c,14
mp-569834,P6_3/mmc,194
mp-569830,P2_1/c,14
mp-570791,P3m1,156
mp-23797,P6_3mc,186
mp-558340,C2/m,12
mp-540950,P6_3/m,176
mp-3523,Pnma,62
mp-31943,P-1,2
mp-20493,Fd-3m,227
mp-781106,C2,5
mp-763561,P2_1/c,14
mp-755543,Pmn2_1,31
mp-9374,P6_3/mmc,194
mp-30938,P-1,2
mp-6456,Pnma,62
mp-31169,Fm-3m,225
mp-31288,P6_3/mcm,193
mp-979258,Fm-3m,225
mp-763540,P2_1,4
mp-3897,I4_1/acd,142
mp-761952,P-1,2
mp-13984,R-3,148
mp-850875,C2/m,12
mp-556602,C2/c,15
mp-542789,P-3,147
mp-780258,Pbca,61
mp-7929,Immm,71
mp-28355,P-1,2
mp-745188,P-1,2
mp-849983,C2/m,12
mp-565622,Cc,9
mp-555824,P2_1/c,14
mp-555284,P2_1,4
mp-2206,Fd-3m,227
mp-705154,P-1,2
mp-556679,C2/c,15
mp-572442,P2_1/c,14
mp-633688,Pm,6
mp-868760,C2/m,12
mp-774174,Cmcm,63
mp-851009,P1,1
mp-774371,P-1,2
mp-20438,Pm-3m,221
mp-676312,P1,1
mp-849392,Ima2,46
mp-978514,Pm-3m,221
mp-765256,P1,1
mp-15326,Cmcm,63
mp-2960,P-62c,190
mp-24405,P-1,2
mp-707202,Pnna,52
mp-685907,P1,1
mp-4819,C2/c,15
mp-10177,P4/mmm,123
mp-704623,Pbam,55
mp-557354,C2/c,15
mp-770346,Pnma,62
mp-850266,C2/m,12
mp-561473,P2_1/c,14
mp-720815,Pbca,61
mp-677269,P1,1
mp-704550,P2_1/c,14
mp-765318,P-1,2
mp-773548,P1,1
mp-562613,R3c,161
mp-1260,P6/mmm,191
mp-680232,P2_1/c,14
mp-638445,Pca2_1,29
mp-631696,F-43m,216
mp-540447,P-1,2
mp-28230,P-1,2
mp-686040,C2/c,15
mp-770867,P2_1/c,14
mp-636565,P4/mmm,123
mp-753202,R-3m,166
mp-779692,Cm,8
mp-541314,P-1,2
mp-36765,Imma,74
mp-28112,R-3c,167
mp-775983,R-3,148
mp-696152,P-1,2
mp-20197,P6_3/mmc,194
mp-769657,Fd-3m,227
mp-556961,P2_12_12_1,19
mp-1274,P6_3/mmc,194
mp-607467,P2_1/c,14
mp-2497,Pm-3m,221
mp-753233,P1,1
mp-4515,R3c,161
mp-555155,Imma,74
mp-8594,P2_13,198
mp-39,Im-3m,229
mp-19662,Pnma,62
mp-569538,Pbcm,57
mp-720710,P-1,2
mp-541601,C2/c,15
mp-554688,I4/mmm,139
mp-770792,Cm,8
mp-581536,Cm,8
mp-697764,C2,5
mp-761557,C2/m,12
mp-580962,Pmmn,59
mp-552098,I4/mmm,139
mp-11175,I-4,82
mp-554142,P2_1/c,14
mp-850079,P1,1
mp-754550,Cmcm,63
mp-777008,P2_1/c,14
mp-770248,P2_1/c,14
mp-22060,Pm-3n,223
mp-626169,P2_1/c,14
mp-562154,P6_3cm,185
mp-766857,P-1,2
mp-768388,C2/c,15
mp-1976,I4/mmm,139
mp-672337,Pm-3n,223
mp-23956,I4/mmm,139
mp-565389,Cmce,64
mp-604498,P4/nnc,126
mp-30349,F-43m,216
mp-8102,Pm-3m,221
mp-16993,P2_1/c,14
mp-775302,Cmce,64
mp-772150,Cmce,64
mp-767312,P-1,2
mp-775684,Cm,8
mp-849990,P1,1
mp-21006,I4/mmm,139
mp-625414,Pmc2_1,26
mp-1145,P6/mmm,191
mp-18014,P6_3mc,186
mp-771261,C2,5
mp-763766,I4/m,87
mp-765375,P1,1
mp-976982,Cmcm,63
mp-9540,Cmcm,63
mp-541793,C2/c,15
mp-777924,P2_1/c,14
mp-30971,P2_1/c,14
mp-541856,P6_3/mcm,193
mp-704198,P2_1,4
mp-777463,C2/m,12
mp-773188,P2_1/m,11
mp-30117,Pbca,61
mp-583193,Pnma,62
mp-38487,P1,1
mp-545,P6_3/mmc,194
mp-769750,P-1,2
mp-774185,Pc,7
mp-510127,P-1,2
mp-626574,P1,1
mp-3247,Cmcm,63
mp-776622,C2/c,15
mp-15701,I-42d,122
mp-505525,Fd-3m,227
mp-759329,C222_1,20
mp-29993,P4_2/mcm,132
mp-505185,P2_1/c,14
mp-5659,P6_3/mmc,194
mp-763760,C2/m,12
mp-605006,Pnna,52
mp-675585,Imm2,44
mp-714,Cmcm,63
mp-557828,P-1,2
mp-29252,P2_13,198
mp-5426,P2_1/m,11
mp-23230,Pnma,62
mp-22315,P-62c,190
mp-21007,P-62m,189
mp-763465,P2_1/c,14
mp-707508,C2/m,12
mp-767463,Pca2_1,29
mp-33024,P1,1
mp-769907,R-3m,166
mp-849466,P1,1
mp-2769,Fd-3m,227
mp-29749,Cmcm,63
mp-972380,Cmcm,63
mp-20905,Pa-3,205
mp-8613,C2/m,12
mp-769496,P-1,2
mp-820,F-43m,216
mp-22858,Cmcm,63
mp-674176,C2/c,15
mp-540804,Pnnm,58
mp-12558,F-43m,216
mp-771744,P2_1/m,11
mp-12798,Pm-3m,221
mp-866308,Pbcn,60
mp-978289,Fm-3m,225
mp-761674,P6_3mc,186
mp-29961,C2/c,15
mp-767744,P1,1
mp-748,P-1,2
mp-780162,P-1,2
mp-636571,P2_1/c,14
mp-762797,P2_1/c,14
mp-28035,Cmc2_1,36
mp-976125,Fm-3m,225
mp-5770,Imm2,44
mp-541761,C2/m,12
mp-488,P6_3/mmc,194
mp-977143,Fm-3m,225
mp-557722,Pbcm,57
mp-556226,P2_1/c,14
mp-568358,P2_1/c,14
mp-680240,C2/c,15
mp-531296,I-42d,122
mp-973270,Fm-3m,225
mp-32383,P1,1
mp-570606,I-43d,220
mp-698362,Pnnm,58
mp-559376,P2_1/c,14
mp-25567,P-1,2
mp-765034,Pnma,62
mp-557824,C2/c,15
mp-29074,Pnma,62
mp-974368,I4/mmm,139
mp-619752,P6_3/mmc,194
mp-772122,C2,5
mp-675301,P1,1
mp-20741,Im-3,204
mp-976286,Fm-3m,225
mp-763318,P1,1
mp-850370,Fd-3,203
mp-32486,Pnma,62
mp-13051,P6_3/mmc,194
mp-780213,Pm,6
mp-17856,P4/mnc,128
mp-762045,P4_332,212
mp-684710,P-1,2
mp-756117,Pnn2,34
mp-753948,R-3c,167
mp-770492,P1,1
mp-697861,P-1,2
mp-763882,P1,1
mp-554885,P3,143
mp-680403,C2/c,15
mp-777303,Immm,71
mp-558578,C2/c,15
mp-558181,P2_1/c,14
mp-769660,Cc,9
mp-620571,Pnma,62
mp-565795,P-1,2
mp-6699,P2_12_12_1,19
mp-558195,P2_1/m,11
mp-672986,P2_1/c,14
mp-558934,C2/c,15
mp-27767,P-42_1m,113
mp-32509,P2_1,4
mp-774848,Pnma,62
mp-755678,C2/c,15
mp-758554,P2_1/c,14
mp-25885,Fdd2,43
mp-551816,P4/mmm,123
mp-762377,I4/mmm,139
mp-13237,P6_3/mcm,193
mp-767117,P-1,2
mp-615833,I4_1/amd,141
mp-764304,P1,1
mp-560614,Pna2_1,33
mp-555813,Pnma,62
mp-27277,Pna2_1,33
mp-4321,C2/c,15
mp-22425,P4/mbm,127
mp-761592,C2/m,12
mp-619488,P6_3/mmc,194
mp-556621,R-3,148
mp-555543,P3m1,156
mp-778697,Pnma,62
mp-673824,Imma,74
mp-5614,Pnma,62
mp-850254,P1,1
mp-778245,Pnma,62
mp-25035,C2,5
mp-30094,P2_1/c,14
mp-567532,P2_1/c,14
mp-850489,P2_1/c,14
mp-30472,Immm,71
mp-770420,Cm,8
mp-770818,P2_1/c,14
mp-626421,P2_1/m,11
mp-756451,Pmn2_1,31
mp-504935,Pnma,62
mp-850110,Fdd2,43
mp-29555,Cmce,64
mp-7907,I-4,82
mp-21214,Pm-3m,221
mp-32868,P1,1
mp-7466,Pmmn,59
mp-773450,I-4m2,119
mp-23844,P2_12_12_1,19
mp-772048,P2_1/m,11
mp-568532,C2/m,12
mp-849083,P3,143
mp-768301,P-1,2
mp-780826,C2/c,15
mp-2501,I4/mcm,140
mp-773295,Imma,74
mp-708,Fm-3m,225
mp-775015,R3m,160
mp-557269,C2/m,12
mp-761718,Cc,9
mp-30613,Cmcm,63
mp-22716,P-3m1,164
mp-569841,I-42d,122
mp-675278,Cm,8
mp-565311,Pbca,61
mp-625082,P2_12_12_1,19
mp-600182,P2_1/c,14
mp-18305,Pnma,62
mp-754429,Cmcm,63
mp-13090,P-62m,189
mp-30903,P6_3cm,185
mp-776864,Cm,8
mp-672307,P-62m,189
mp-10251,P2_1/c,14
mp-19851,I4/mcm,140
mp-743656,P2_1/c,14
mp-560853,C2/c,15
mp-721328,Pbcn,60
mp-974822,Fm-3m,225
mp-35695,R3m,160
mp-767190,R-3,148
mp-765406,Immm,71
mp-510624,Pm-3m,221
mp-1102,Fm-3m,225
mp-759330,P2_1/c,14
mp-31406,R-3m,166
mp-22803,Fd-3m,227
mp-767905,P2_1/c,14
mp-31877,C222_1,20
mp-850118,C2/c,15
mp-23969,C2/c,15
mp-39888,R-3,148
mp-25793,Pnma,62
mp-764013,Cc,9
mp-685022,Pnma,62
mp-6075,P2_1/m,11
mp-574620,Cmcm,63
mp-780149,P-1,2
mp-27835,Fm-3m,225
mp-771533,P2_1/c,14
mp-30965,C2/c,15
mp-31809,C2/c,15
mp-6669,P6_3/m,176
mp-605863,P2_1/c,14
mp-775348,P2_1,4
mp-282,Fm-3m,225
mp-757663,P1,1
mp-673020,P2_1/c,14
mp-560498,P2_1/m,11
mp-29970,Pbam,55
mp-7691,Pbam,55
mp-19398,Imma,74
mp-780813,P-1,2
mp-851013,R-3c,167
mp-756637,R3m,160
mp-582799,I4/mmm,139
mp-774929,C2/c,15
mp-867563,P2_1/c,14
mp-850147,P-1,2
mp-772627,C2/c,15
mp-769768,C2/m,12
mp-18024,P6_3/mmc,194
mp-571353,P6/mmm,191
mp-761644,C2/c,15
mp-776984,Pnma,62
mp-698163,Pnma,62
mp-762431,I4/m,87
mp-767355,Pna2_1,33
mp-560748,I4,79
mp-768785,R-3c,167
mp-29708,P-1,2
mp-752666,Fddd,70
mp-7219,C2/m,12
mp-773399,P2_1/m,11
mp-23803,Pmn2_1,31
mp-763800,P2_12_12,18
mp-607450,P4_2/mnm,136
mp-585194,P-1,2
mp-780522,P-1,2
mp-780043,Pm,6
mp-21890,P4/nmm,129
mp-767872,P1,1
mp-764233,P6_3cm,185
mp-761306,P2_1/m,11
mp-16801,Pnma,62
mp-30466,F-43m,216
mp-24906,P-31m,162
mp-757883,P6_3,173
mp-32047,P-1,2
mp-766287,P-4b2,117
mp-676724,P1,1
mp-761465,P2_12_12_1,19
mp-705477,R3m,160
mp-766015,P2_1/c,14
mp-721253,P1,1
mp-29537,I4_1/amd,141
mp-36066,Cc,9
mp-767629,P1,1
mp-540839,Pnma,62
mp-764064,Pmn2_1,31
mp-773974,R3m,160
mp-2127,I-43d,220
mp-3732,P6_3/mmc,194
mp-21097,P2_1,4
mp-695878,P1,1
mp-626006,Pna2_1,33
mp-568,I4/mcm,140
mp-5933,P6_3/mmc,194
mp-542676,C2/c,15
mp-769928,P-1,2
mp-554302,Fm-3m,225
mp-775484,C2/m,12
mp-17262,P2_1/c,14
mp-779194,P1,1
mp-868651,R-3c,167
mp-17974,P4_2/mnm,136
mp-763006,Cmcm,63
mp-776881,P2_1/c,14
mp-7199,P4/nbm,125
mp-771607,C2/m,12
mp-771859,P2_1/m,11
mp-17615,I4/mcm,140
mp-28779,C2/c,15
mp-770905,P2_1,4
mp-561328,P2_12_12_1,19
mp-18576,P2_1/c,14
mp-849541,Pna2_1,33
mp-541090,P2_1/c,14
mp-771415,P2_1/m,11
mp-781865,Cmcm,63
mp-651461,Cc,9
mp-18444,C2/c,15
mp-561407,C2/c,15
mp-767664,Pm,6
mp-6449,Pmn2_1,31
mp-710509,C2/c,15
mp-771054,P-1,2
mp-774286,Pbcn,60
mp-560032,P2_1/c,14
mp-754381,Fd-3m,227
mp-743948,P2_1/c,14
mp-572283,P4/n,85
mp-28508,Cm,8
mp-775048,P4_322,95
mp-600510,P2_1/c,14
mp-34765,I4/mcm,140
mp-5673,P-31c,163
mp-23096,Pnma,62
mp-557597,C2/m,12
mp-758688,P4/ncc,130
mp-17757,I4/mcm,140
mp-25122,I4_1/a,88
mp-565679,P2_1/c,14
mp-2605,Fm-3m,225
mp-777514,P2_1/m,11
mp-633671,C2/c,15
mp-557472,P2_1/c,14
mp-781686,P2_1/c,14
mp-696130,P4_2mc,105
mp-780597,P1,1
mp-40502,Pmna,53
mp-757673,P2_1/c,14
mp-20602,I4/mmm,139
mp-9069,Ibam,72
mp-9420,I4_1/a,88
mp-779916,P1,1
mp-773175,P2_1,4
mp-574458,R-3c,167
mp-572632,P-1,2
mp-740696,P2_1/c,14
mp-640890,C2/c,15
mp-644256,Pna2_1,33
mp-8057,Cmcm,63
mp-677490,P1,1
mp-1586,Fm-3m,225
mp-767059,P6_422,181
mp-580541,Fm-3m,225
mp-574159,C2/m,12
mp-531064,Pnnn,48
mp-505168,P-1,2
mp-868261,P1,1
mp-558500,Fddd,70
mp-567034,Ibca,73
mp-15339,Fdd2,43
mp-4483,R-3m,166
mp-768764,P4/nmm,129
mp-851278,P1,1
mp-570061,Pbca,61
mp-734875,P2_1/m,11
mp-21172,Pm-3m,221
mp-20295,P6_3mc,186
mp-979950,Fm-3m,225
mp-556333,P2_1/m,11
mp-778858,Cc,9
mp-30183,I4/mmm,139
mp-778686,P3_121,152
mp-568516,Fm-3m,225
mp-510456,P-3m1,164
mp-2041,Imma,74
mp-643791,P2_1/m,11
mp-607818,Pbca,61
mp-28993,R-3c,167
mp-765864,R-3m,166
mp-505601,Fd-3m,227
mp-570026,P-62m,189
mp-770884,P2_1/m,11
mp-541176,Pc,7
mp-558330,P2_1/c,14
mp-764862,P1,1
mp-592,Pm-3m,221
mp-29492,P2_1/c,14
mp-971982,Fm-3m,225
mp-622020,I-42d,122
mp-764289,P1,1
mp-849704,P1,1
mp-763906,Imma,74
mp-540784,C2/m,12
mp-28663,Pbam,55
mp-22957,P4/nmm,129
mp-569600,P-43m,215
mp-762548,P2_1/c,14
mp-974981,Imm2,44
mp-764337,R-3,148
mp-555611,Ia-3,206
mp-763920,C2/m,12
mp-30272,C2/m,12
mp-771551,P2_1/m,11
mp-768077,P1,1
mp-753768,I4_1/amd,141
mp-777596,P1,1
mp-756526,P-1,2
mp-567055,P2_1/c,14
mp-583463,P312,149
mp-555688,P2_1/c,14
mp-1349,Fd-3m,227
mp-556903,P2_1/c,14
mp-561947,Pm-3m,221
mp-10900,P6_3/mmc,194
mp-31207,P6_3/mcm,193
mp-971835,I4/mmm,139
mp-605252,Pnma,62
mp-29709,P2_1/c,14
mp-643912,I4/mcm,140
mp-585177,P-1,2
mp-26100,P2_1/c,14
mp-20077,Pnma,62
mp-676854,P1,1
mp-37473,P4_2/mmc,131
mp-505759,Pnma,62
mp-7385,R-3m,166
mp-3931,P4/nmm,129
mp-28994,Pmmn,59
mp-28941,Cmce,64
mp-764082,P-1,2
mp-868352,P6_3mc,186
mp-26952,C2/c,15
mp-770707,Pna2_1,33
mp-13252,Pmn2_1,31
mp-556056,I4_1/acd,142
mp-764999,C2/m,12
mp-891956,P3,143
mp-558576,P2_1/c,14
mp-683983,I4_1/a,88
mp-24196,P2_1/c,14
mp-767717,P2_1,4
mp-744843,P2_1/c,14
mp-557579,Cmce,64
mp-1222,P6_222,180
mp-699445,P2_1/m,11
mp-769919,C2/m,12
mp-558309,P-1,2
mp-33216,Pn-3m,224
mp-770586,Pna2_1,33
mp-24381,P2_1/c,14
mp-14558,P2_1/c,14
mp-1049,P-62m,189
mp-27902,P-3m1,164
mp-631412,Fm-3m,225
mp-696019,P-1,2
mp-744997,P2_1/c,14
mp-779984,P-1,2
mp-22015,F-43m,216
mp-28778,C2/m,12
mp-773727,P2_1/c,14
mp-850112,P1,1
mp-979937,Fm-3m,225
mp-774085,P-1,2
mp-7824,P-3m1,164
mp-639154,Fm-3m,225
mp-12120,P6_3/mmc,194
mp-556674,P6_3/mmc,194
mp-28726,P3_1,144
mp-504340,P2_1,4
mp-573691,Cmce,64
mp-705336,P-1,2
mp-32359,P2_1/c,14
mp-753306,I4_1/amd,141
mp-705890,I4_1/acd,142
mp-762659,Cm,8
mp-15742,Cmce,64
mp-973572,Fm-3m,225
mp-555965,Cmc2_1,36
mp-554072,C2/c,15
mp-10617,I4_1/amd,141
mp-20746,Cmcm,63
mp-570040,P2_1/c,14
mp-775086,P-1,2
mp-684785,P1,1
mp-27400,Pnma,62
mp-765709,P-1,2
mp-974690,I4/mmm,139
mp-865956,P6_3/mmc,194
mp-770470,C2,5
mp-684786,Cmmm,65
mp-8504,P321,150
mp-23777,P2_1/c,14
mp-19627,P-1,2
mp-19930,Fd-3m,227
mp-25085,P-1,2
mp-622482,Pnma,62
mp-684853,P1,1
mp-779249,Cmcm,63
mp-764428,P1,1
mp-30211,P6_3/mcm,193
mp-10065,P6/mmm,191
mp-759871,C2/c,15
mp-27826,Fm-3m,225
mp-6289,P4bm,100
mp-780579,Cc,9
mp-767119,P1,1
mp-22613,P6_322,182
mp-706588,Cc,9
mp-23995,P6_3/m,176
mp-558026,P2_1/c,14
mp-541049,R-3,148
mp-770230,P-1,2
mp-684517,P1,1
mp-705670,C2/c,15
mp-641497,Pnnm,58
mp-764584,P6_3/mcm,193
mp-777682,P6_3mc,186
mp-636773,C2/m,12
mp-31075,C2/m,12
mp-559571,P2_1/c,14
mp-850089,R3,146
mp-561157,Pna2_1,33
mp-13285,Pm-3n,223
mp-10401,P-3m1,164
mp-760599,P2_1/m,11
mp-754825,R-3m,166
mp-752705,C2/c,15
mp-560237,C2/m,12
mp-973938,Cmcm,63
mp-850407,Pmn2_1,31
mp-11892,P2_1/c,14
mp-14406,R-3c,167
mp-561283,P-1,2
mp-866298,P2_1/m,11
mp-27462,P222,16
mp-601292,P-1,2
mp-27339,P2_1/c,14
mp-569842,Fddd,70
mp-19517,Pna2_1,33
mp-768973,P2_1/c,14
mp-12779,P6_3mc,186
mp-31961,Pc,7
mp-25790,P6_3/mmc,194
mp-778564,P1,1
mp-631440,F-43m,216
mp-23776,P2_1/c,14
mp-2551,P6/mmm,191
mp-545379,Pm-3m,221
mp-977325,Fm-3m,225
mp-25593,R-3m,166
mp-4633,I4/mmm,139
mp-677378,Cc,9
mp-677510,P-1,2
mp-29500,Cc,9
mp-579533,Pn-3m,224
mp-30031,P-3m1,164
mp-601401,Pbcm,57
mp-686239,P1,1
mp-7524,Immm,71
mp-554245,P4/nmm,129
mp-677013,P2_1/m,11
mp-9911,I-43m,217
mp-767820,P1,1
mp-677709,P1,1
mp-771241,P2_1/c,14
mp-772427,C2,5
mp-556848,I4/mmm,139
mp-755426,R-3m,166
mp-505306,Fd-3m,227
mp-705632,P1,1
mp-13202,P6_3mc,186
mp-15514,I-42d,122
mp-19652,P1,1
mp-16517,Cmcm,63
mp-10498,I4/mmm,139
mp-557892,Cc,9
mp-676524,P1,1
mp-777546,P4/nmm,129
mp-626112,P1,1
mp-3998,Cmc2_1,36
mp-777703,P-1,2
mp-849531,P1,1
mp-5503,C2/c,15
mp-27515,P2_1/c,14
mp-27590,P-1,2
mp-761971,Cm,8
mp-780214,P2/m,10
mp-769708,P-1,2
mp-20021,Cmcm,63
mp-760927,Pnma,62
mp-23582,R-3m,166
mp-566883,P2_12_12_1,19
mp-4720,P-62m,189
mp-557702,Pnma,62
mp-556712,P4/nnc,126
mp-31440,I4/mmm,139
mp-752415,Amm2,38
mp-744814,R-3c,167
mp-706277,P4_2mc,105
mp-642754,Fd-3m,227
mp-8401,Pm-3m,221
mp-631417,Fm-3m,225
mp-772566,P2_1/c,14
mp-673700,P1,1
mp-14837,I4_1/amd,141
mp-506,Pm-3m,221
mp-6368,Pnma,62
mp-777479,Pnma,62
mp-676259,R-3,148
mp-850170,P1,1
mp-25679,P2_1/c,14
mp-23300,Fm-3m,225
mp-767966,P1,1
mp-31139,P2_1/m,11
mp-510013,P2_12_12_1,19
mp-770587,R-3m,166
mp-556541,C2/m,12
mp-583553,Pn-3,201
mp-565540,P-1,2
mp-30720,P4/mbm,127
mp-541310,P6_3/mmc,194
mp-765797,P-1,2
mp-772298,P2_1/c,14
mp-9882,C2/c,15
mp-570784,P6_3/mmc,194
mp-9655,P-1,2
mp-868321,P2_1,4
mp-764097,P2_1/c,14
mp-13434,F-43m,216
mp-29216,Cmcm,63
mp-561708,R3,146
mp-3581,P6_3/mmc,194
mp-34042,R3m,160
mp-14503,Cmcm,63
mp-542660,P-1,2
mp-679975,Pbca,61
mp-690244,C2/m,12
mp-33338,R3,146
mp-2701,P6_3/mmc,194
mp-38152,I-42d,122
mp-767860,P2_1/c,14
mp-770448,Pnma,62
mp-773502,P2_1,4
mp-774130,Imma,74
mp-707530,C2/m,12
mp-567008,P2_1/c,14
mp-566353,P2_12_12_1,19
mp-768072,P2_1/c,14
mp-554420,P2_1/c,14
mp-13798,Fm-3m,225
mp-10992,P4/nmm,129
mp-769533,C2/c,15
mp-578614,C2/c,15
mp-23228,P4/n,85
mp-1074,P-43n,218
mp-540704,C2/m,12
mp-761818,Pna2_1,33
mp-850743,P1,1
mp-774465,P1,1
mp-2983,Pa-3,205
mp-29373,Pnma,62
mp-626149,P3m1,156
mp-695694,P1,1
mp-680498,P2_1/c,14
mp-769720,P-1,2
mp-973343,Fm-3m,225
mp-674412,Cmmm,65
mp-763274,Pnnm,58
mp-14048,Ia-3d,230
mp-18914,C2/m,12
mp-774326,Cm,8
mp-768453,R-3c,167
mp-556399,P2_1/c,14
mp-744418,P2_1/c,14
mp-15803,Fd-3m,227
mp-771634,P1,1
mp-867712,C2/m,12
mp-9848,P2_1/m,11
mp-766955,R-3m,166
mp-504997,P-1,2
mp-541977,P2_1/c,14
mp-676865,P1,1
mp-30990,P2_1/c,14
mp-776639,P1,1
mp-28399,P2_1/c,14
mp-764354,P4_1,76
mp-620033,Pmn2_1,31
mp-697925,P-42_1c,114
mp-31104,P2_1/c,14
mp-684021,C2/m,12
mp-8540,Amm2,38
mp-11370,Pm-3m,221
mp-639160,P4/mbm,127
mp-772215,I4_1/amd,141
mp-30356,Imma,74
mp-31002,C2/m,12
mp-633471,P2_1,4
mp-566047,P2_1/c,14
mp-13275,P-62m,189
mp-562728,I4_1/a,88
mp-646538,P2_1/c,14
mp-851016,Pca2_1,29
mp-777140,Pbca,61
mp-779477,P2_1/c,14
mp-720643,P2_12_12_1,19
mp-559047,Pn-3,201
mp-972087,Pm-3m,221
mp-761470,P-1,2
mp-24809,P6_3/mmc,194
mp-29667,Cmcm,63
mp-752554,P2_1/c,14
mp-627114,P1,1
mp-771580,C2/m,12
mp-38327,I-42d,122
mp-4171,Cmcm,63
mp-559937,P2_1/c,14
mp-704736,P-1,2
mp-569396,R-3m,166
mp-756565,C2/m,12
mp-20111,Fd-3m,227
mp-631345,Fm-3m,225
mp-2103,Pm-3m,221
mp-773259,Cm,8
mp-4544,Pnma,62
mp-560170,C2/m,12
mp-30858,Pm-3m,221
mp-637196,Pccn,56
mp-31098,P6/mmm,191
mp-771967,Pnma,62
mp-677431,P2/c,13
mp-28452,Fd-3m,227
mp-767917,Pbam,55
mp-9845,P4/nmm,129
mp-634429,Pmmn,59
mp-3846,Pm-3m,221
mp-20034,P4/mmm,123
mp-773359,Imma,74
mp-947,Pn-3m,224
mp-22164,Pnma,62
mp-775288,Cm,8
mp-8635,Fm-3m,225
mp-25089,I4/m,87
mp-779950,P1,1
mp-764457,C2/m,12
mp-21292,Pm-3m,221
mp-11123,Cmcm,63
mp-565920,P4/mbm,127
mp-972542,Fm-3m,225
mp-553278,Amm2,38
mp-8982,P2_1/c,14
mp-287,C2/c,15
mp-16826,Pnma,62
mp-760403,Cmmm,65
mp-669722,Pnma,62
mp-541626,P-62m,189
mp-736259,P2_1/c,14
mp-510321,P6_3/mcm,193
mp-29227,C2,5
mp-773628,I4_1/amd,141
mp-562366,P-1,2
mp-30491,P6_3/mmc,194
mp-31426,P-62m,189
mp-780630,P1,1
mp-773506,R3,146
mp-569264,P6/mmm,191
mp-40144,P-1,2
mp-753776,Cmcm,63
mp-606023,Pnma,62
mp-767975,P-1,2
mp-569249,Pm-3n,223
mp-556552,Pna2_1,33
mp-626864,Cmce,64
mp-762879,P-1,2
mp-672714,Pbca,61
mp-850166,P1,1
mp-690541,P2_1/c,14
mp-975638,Pm-3m,221
mp-767902,P2_1/c,14
mp-15178,P2_1/c,14
mp-762181,Pm,6
mp-850975,Fddd,70
mp-21278,Cmcm,63
mp-768337,P-1,2
mp-25637,Pnma,62
mp-542469,P-1,2
mp-8858,I4/mcm,140
mp-558703,P-1,2
mp-757586,C2/c,15
mp-604537,C2/m,12
mp-774321,C222_1,20
mp-625365,P2_1,4
mp-696231,Cc,9
mp-779463,P2_1/c,14
mp-25134,P4/nbm,125
mp-22953,P6_3mc,186
mp-28027,Pna2_1,33
mp-604321,P6_3/mmc,194
mp-779396,Pc,7
mp-850283,C2/c,15
mp-5142,R-3,148
mp-7210,P-1,2
mp-976881,P6_3/mmc,194
mp-27990,P2_1/c,14
mp-11373,P-62m,189
mp-23174,R-3m,166
mp-707396,C2/c,15
mp-752949,R-3m,166
mp-672340,Fm-3m,225
mp-569202,P4_2/mnm,136
mp-2798,Cmc2_1,36
mp-13900,I4_1/amd,141
mp-622214,P2_13,198
mp-764390,P6_3,173
mp-528,R-3m,166
mp-3252,P4_2/m,84
mp-15955,P4_2/mmc,131
mp-12806,Imm2,44
mp-6413,C2/c,15
mp-8804,P4_2/nmc,137
mp-763002,Pc,7
mp-761821,P-1,2
mp-210,P6_3/mmc,194
mp-29371,Pnma,62
mp-771778,P2_1/c,14
mp-2175,Fm-3m,225
